Success Rate,Collision Rate,Timeout Rate,Avg Nav Time,Mean Min Distance
0.83,0.0,0.17,25.626506024096386,0.25715194795956675
0.98,0.02,0.0,17.84438775510204,0.427711746841085
0.06,0.94,0.0,12.333333333333334,0.95301863577475
0.99,0.0,0.01,11.904040404040405,0.38043075836576123
1.0,0.0,0.0,14.0525,0.4850656662715274
1.0,0.0,0.0,15.755,0.4377843449064144
0.98,0.02,0.0,17.84438775510204,0.427711746841085
0.73,0.26,0.01,23.5,0.43056904492443676
